Grasp No.,Picture No.,Object,J position1,J position2,J position3,J position4,J position5,J position6,Finger 1(rads),Finger 2(rads),Finger 3(rads),Spread (rads),Finger 1,Finger 2,Finger 3,Finger Spread,Grasp Type (precision vs power),2/3 finger,palm/no palm,1,2,3,4,5,6,7,8,Average
37,128,wineglass,-6.52,-45.84,184.47,-116.87,-67.89,-274.67,0.91,0.91,0.88,3.09,78582,78494,76279,35300,power,3 finger,palm,0,0,0,0,0,0,0,0,0.00
38,170,wineglass,4.37,-73.47,221.21,-79.58,-30.23,-39.15,0.00,0.00,1.27,0.01,419,301,110483,119,,,,0,0,0,0,0,0,0,0,0.00
41,129,soap,-7.48,-12.94,165.02,-100.24,-90.88,-17.48,1.46,1.40,1.49,0.03,126212,121398,129270,313,power,3 finger,palm,1,1,1,1,1,1,1,1,1.00
42,130,soap,11.93,-65.97,210.72,-122.43,-6.93,73.19,1.37,1.10,1.09,0.02,119080,95273,94830,238,precision,3 finger,palm,0,0,0,0,1,1,1,1,0.50
43,131,soap,13.94,-49.30,164.41,-180.00,-64.89,205.94,1.68,1.69,1.24,1.31,145842,146857,107487,14988,precision,3 finger,no palm,0,1,1,0,1,0,1,1,0.63
44,132,soap,16.41,-52.36,218.93,17.97,-50.12,-184.61,1.67,1.90,1.72,1.01,144461,164594,148674,11503,power,3 finger,palm,0,0,0,0,0,0,1,1,0.25
45,133,soap,16.58,-56.01,181.30,177.80,-53.81,-301.14,0.99,0.99,1.91,0.18,85794,85414,165236,2081,precision,3 finger,no palm,0,0,0,0,0,0,0,0,0.00
46,134,soap,22.89,-60.78,203.47,92.27,-25.52,-197.09,1.83,1.79,0.52,0.18,158613,154939,45328,2012,precision,3 finger,palm,0,0,0,0,0,0,0,0,0.00
47,135,soap,-7.13,-41.02,182.35,-118.00,-63.02,-25.55,0.01,1.35,1.22,0.18,700,117282,106120,2104,precision,2 finger,no palm,1,0,1,1,1,1,0,1,0.75
48,169,soap,18.45,-68.01,212.60,-169.70,-27.15,57.62,0.17,0.17,0.01,0.14,15069,14945,597,1577,,,,0,0,0,0,0,0,0,0,0.00
51,136,bottle,-8.65,-22.90,180.82,-92.83,-90.07,-27.95,1.56,1.52,1.54,0.17,135236,131392,133459,1998,power,3 finger,palm,1,1,1,1,1,1,1,1,1.00
52,137,bottle,13.74,-52.97,169.01,-176.99,-62.65,80.39,1.34,1.29,1.16,0.67,115743,112187,100624,7698,precision,3 finger,palm,1,1,1,1,1,1,1,1,1.00
53,138,bottle,-6.93,-32.85,173.82,-100.24,-93.10,-6.60,0.16,1.57,1.65,0.01,14050,136266,143349,83,power,3 finger,palm,1,1,1,1,0,1,1,1,0.88
54,139,bottle,8.53,-52.60,170.64,-159.52,-59.58,-47.55,1.42,1.40,0.93,0.04,122800,121391,80272,447,precision,3 finger,palm,1,1,1,0,1,1,1,1,0.88
55,140,bottle,-3.89,-39.88,165.41,-135.83,-77.63,27.02,1.31,0.96,1.30,0.02,113662,83149,112323,230,power,3 finger,palm,0,0,0,0,0,0,0,0,0.00
56,141,bottle,-6.98,-16.53,171.30,-86.90,-111.87,67.12,1.64,1.60,1.20,1.23,141666,138238,103584,14049,power,3 finger,palm,0,0,0,0,0,0,0,0,0.00
57,142,bottle,-14.04,-29.40,184.50,-103.33,-87.34,-25.57,0.98,0.98,1.28,0.00,85239,84744,110546,41,precision,3 finger,no palm,1,1,1,1,1,1,1,1,1.00
58,165,bottle,-8.65,-59.82,187.48,-125.13,-63.22,97.28,0.00,1.48,0.88,0.01,120,128034,76243,151,,,,0,0,0,0,0,0,0,0,0.00
61,143,coil,19.98,-59.58,179.91,-184.16,-61.36,-158.97,1.77,1.49,1.19,0.43,153446,129245,103261,4947,precision,3 finger,no palm,1,1,1,1,1,1,1,1,1.00
62,144,coil,17.18,-70.84,198.69,-167.88,-30.50,-95.10,1.21,1.55,1.38,0.43,104483,134497,119506,4951,precision,3 finger,no palm,0,0,1,0,0,0,0,0,0.13
63,145,coil,-13.73,-55.80,215.07,-87.35,-79.36,-94.01,1.52,0.00,1.41,0.02,131883,5,122622,255,precision,2 finger,no palm,0,0,0,0,0,0,0,0,0.00
64,146,coil,-2.55,-33.67,207.06,-72.44,-90.01,-38.70,1.73,1.73,1.72,3.10,150299,150087,149167,35383,power,3 finger,palm,0,0,0,0,0,1,0,1,0.25
65,147,coil,-7.72,-47.18,210.25,-77.67,-88.37,61.54,1.35,1.29,1.64,0.27,116684,111414,142468,3049,power,3 finger,palm,1,1,1,1,1,1,1,1,1.00
66,148,coil,-4.11,-57.89,207.56,-89.95,-60.65,88.86,1.92,0.97,1.22,0.27,166376,84117,106060,3095,power,3 finger,palm,0,0,0,0,0,0,0,0,0.00
67,149,coil,21.64,-54.75,171.34,-180.83,-64.08,52.02,1.73,1.14,1.39,1.30,150116,98662,120828,14806,precision,3 finger,no palm,1,1,0,0,0,1,0,1,0.50
68,171,coil,-5.72,-66.92,207.06,-135.45,-39.45,108.27,0.00,0.00,0.01,3.14,424,298,574,35880,,,,0,0,0,0,0,0,0,0,0.00
71,150,remote,19.27,-38.25,166.17,-182.28,-53.61,-29.35,1.49,1.47,0.84,1.30,128669,127546,72647,14868,precision,3 finger,no palm,0,1,0,1,0,0,0,0,0.25
72,151,remote,19.17,-38.61,166.18,-179.01,-51.81,-116.43,0.95,0.95,0.01,1.51,82266,82495,845,17221,precision,2 finger,no palm,1,1,1,1,1,1,1,1,1.00
73,152,remote,19.33,-41.19,170.22,-178.98,-50.36,-117.32,1.21,1.19,1.21,0.70,105139,103413,104642,7991,precision,3 finger,no palm,1,1,1,0,1,1,1,1,0.88
74,153,remote,-4.84,-41.32,215.40,-59.44,-70.92,-184.70,1.30,0.35,1.05,0.73,112248,30679,91047,8290,precision,2 finger,no palm,0,0,0,0,0,0,0,0,0.00
75,154,remote,-7.30,-22.50,173.88,-105.43,-79.02,-181.13,1.28,0.34,1.31,0.01,111312,29710,113497,108,precision,2 finger,no palm,0,0,1,1,1,0,1,1,0.63
76,155,remote,17.65,-35.75,161.83,-176.37,-53.21,-122.50,0.94,0.92,1.37,1.13,81305,79565,118368,12937,precision,3 finger,no palm,1,1,1,1,0,1,1,1,0.88
77,156,remote,29.31,-27.56,210.29,27.29,-90.43,-313.75,1.88,1.86,1.88,3.09,162933,161010,162775,35347,power,3 finger,palm,0,0,0,0,0,0,0,0,0.00
78,168,remote,19.37,-50.87,180.88,-174.00,-42.09,154.20,0.71,0.00,0.87,0.01,61646,297,75543,61,,,,0,0,0,0,0,0,0,0,0.00
81,157,can,21.72,-30.00,219.04,20.11,-101.50,-216.90,1.62,1.62,1.62,3.09,140505,140484,140646,35306,power,3 finger,palm,1,1,1,1,1,1,1,1,1.00
82,158,can,18.74,-66.04,203.25,159.68,-23.55,-75.57,1.38,1.38,1.08,1.37,119886,119871,93479,15614,precision,3 finger,no palm,1,1,1,1,1,1,1,1,1.00
83,159,can,21.81,-70.29,218.04,81.93,-14.79,3.60,1.42,1.42,0.00,1.49,122906,122810,245,16974,precision,2 finger,no palm,1,1,1,1,1,1,1,1,1.00
84,160,can,15.40,-47.01,179.52,178.17,-43.71,-95.32,1.29,1.30,1.26,0.66,111938,112411,109502,7497,power,3 finger,palm,1,1,1,1,1,1,1,1,1.00
85,161,can,-6.60,-32.14,188.89,-95.57,-71.65,169.55,1.43,1.53,1.33,0.65,124180,132410,115376,7399,power,3 finger,palm,1,1,1,0,1,1,1,0,0.75
86,162,can,1.57,-43.58,173.31,-139.35,-63.20,103.46,0.88,0.98,1.41,0.23,76164,84751,122244,2591,precision,3 finger,no palm,0,0,0,0,0,0,0,0,0.00
87,163,can,-4.07,-37.59,168.73,-131.14,-71.09,205.85,1.17,1.19,1.19,0.23,101637,102848,103028,2627,precision,3 finger,no palm,1,1,1,1,1,1,1,1,1.00
88,164,can,-9.70,-48.05,188.91,-177.10,-56.36,84.14,2.25,2.25,0.89,0.01,194908,195035,76818,144,,,,0,0,0,0,0,0,0,0,0.00
